Report generated: 2025-10-09T12:20:27.895Z
Name | ID | AddedDate
-------------------------------------------
Too Spicy | 2Spicy | 
3D Cosplay Mahjong | 3DCosplayMahjong | 
America's Army Arcade | AAA | 
After Burner Climax | abc | 
After Burner Climax (Elfloader2) | abcELF2 | 
Ace Driver 3 | acedriv3 | 
Action Deka | ActionDeka | 
After Dark | AfterDark | 
Night Hunter - After Dark, Chapter 2 | AfterDark2 | 
ANIMAL KAISER -EVOLUTION- | akaievo | 
Akai Katana Shin for NESiCAxLive | AkaiKatanaShinNesica | 
Sailor Zombie: AKB48 | AKB48 | 
Akuma | Akuma | 
Senjin Aleste | Aleste | 
Aliens Armageddon | AliensArmageddon | 
Aliens: Extermination | AliensExtermination | 
Super Alpine Racer | AlpineRacer | 
Aquapazza: Aquaplus Dream Match | AquapazzaAquaplusDreamMatch | 
Ge-Sen Love: Plus Pengo! | ArcadeLove | 
Arcana Heart 2 for NESiCAxLive | ArcanaHeart2Nesica | 
Arcana Heart 3 (eX-Board) | ArcanaHeart3Exboard | 
Arcana Heart 3: LOVE MAX SixStarS!!!!!! | ArcanaHeart3Nesica | 
Arctic Thunder | ArcticThunder | 
Ballistics | Ballistics | 
Baseball Heroes 2 | BaseballHeroes | 
Battle Gear 3 | batlgr3 | 
Battle Gear 3 Tuned | batlgr3t | 
Batman | Batman | 
Battle Climaxx! | BattleClimax | 
Battle Fantasia | BattleFantasia | 
Battle Fantasia Network Edition for NESiCAxLive | BattleFantasiaNesica | 
Battle Gear 4 | BattleGear4 | 
Battle Gear 4 Tuned | BattleGear4Tuned | 
BlazBlue: Central Fiction | BBCF | 
BlazBlue: Chronophantasma | BBCP | 
Big Buck Hunter Pro Home | BBHHome | 
Big Buck Hunter Pro | BBHPro | 
Big Buck Hunter World | BBHWorld | 
Blade Arcus | BladeArcus | 
Blade Strangers | BladeStrangers | 
Blade Strangers (APM3) | BladeStrangersAPM3 | 
BlazBlue: Calamity Trigger | BlazBlueCalaminityTrigger | 
BlazBlue: Continuum Shift | BlazBlueContinuumShift | 
BlazBlue: Continuum Shift II | BlazBlueContinuumShift2 | 
BlazBlue: Cross Tag Battle | BlazBlueCrossTagBattle | 
Blazing Angels | BlazingAngels | 
Bloody Roar 3 | bldyr3b | 
Block King Ball Shooter | BlockKing | 
Border Break Scramble | BorderBreakScramble | 
Bug Busters | BugBusters | 
ByonByon | ByonByon | 
Caladrius AC | CaladriusAC | 
Cars | Cars | 
Castlevania: The Arcade | Castlevania | 
Chaos Code | CC | 
Chaos Breaker | ChaosBreaker | 
Chaos Breaker for NESiCAxLive | ChaosBreakerNesica | 
Chaos Code: New Sign of Catastrophe v1.03.00 | ChaosCodeNSOC103 | 
Chaos Code: New Sign of Catastrophe v2.11 | ChaosCodeNSOC211 | 
Chase Chase Jokers | ChaseChaseJoker | 
Chase H.Q. 2 | ChaseHQ2 | 
Chrono Regalia | ChronoRegalia | 
Cobra The Arcade | cobrata | 
Cobra: The Arcade World (CBR2 Ver. B) | cobrataw | 
Come On Baby! 2 Winter Championship | ComeOnBaby2 | 
Contra: Evolution | Contra | 
Coopers's 9 | Coopers9 | 
Cotton Rock'n'Roll | CottonRnR | 
Crazy Ride | CrazyRide | 
Crazy Speed | CrazySpeed | 
Crimzon Clover for NESiCAxLive | CrimzonClover | 
Crossfire: Maximum Paintball | CrossfirePaintball | 
Cruis'n Blast | CruisnBlast | 
Counter-Strike Neo | CSNEO | 
Cyber Diver | CyberDiver | 2024-12-12
D1GP Arcade | D1GP | 
Daemon Bride: Additional Gain | DaemonBrideAG | 
Daemon Bride (eX-Board) | DaemonBrideExboard | 
Dariusburst: Another Chronicle | DariusBurst | 
DARK AWAKE: The King Has No Name for NESiCAxLive | DarkAwakeNesica | 
Dark Escape 4D | DarkEscape4D | 
Daytona Championship USA | Daytona3 | 
Daytona Championship USA - NSE | Daytona3NSE | 
Dragon Ball Zenkai Battle Royale | dbzenkai | 
Dead Heat | DeadHeat | 
Dead Heat Riders | DeadHeatRiders | 
Deal Or No Deal | DealOrNoDeal | 
Deal Or No Deal Deluxe | DealOrNoDealDeluxe | 
Deal Or No Deal UK | DealOrNoDealUK | 
Deathsmiles II: Makai no Merry Christmas | Deathsmiles2 | 
Dengeki Bunko: Fighting Climax APM3 Edition | DengekiBunkoFightingClimax | 
Densha de Go!! | DenshaDeGo | 
Densha de Go!! (DDG 1 & DDG 2 Retro) | DenshaDeGoRetro | 
Dino King Battle: King of Jurassic | DinoKing | 2024-12-08
Dirty Drivin' | DirtyDrivin | 
Dead or Alive 5 Ultimate Arcade | DOA5 | 
Dead or Alive 6 | DOA6 | 
Do Not Fall: Run For Your Drink | DoNotFallRunforYourDrink | 
Dragon Dance for NESiCAxLive | DragonDanceNesica | 
Drakons: Realm Keepers | Drakons | 
Deadstorm Pirates Special | DSPS | 
Elevator Action Death Parade | EADP | 
Elevator Action for NESiCAxLive | ElevatorAction | 
Elevator Action Invasion | ElevatorActionInvasion | 
En-Eins Perfektewelt for NESiCAxLive | EnEinsPerfektewelt | 
Exception for NESiCAxLive | ExceptionNesica | 
Mobile Suit Gundam: Extreme Versus 2 | EXVS2 | 
Mobile Suit Gundam: Extreme Versus 2 XBoost | EXVS2XB | 
Family Guy Bowling | FamilyGuyBowling | 
Far Cry Paradise Lost | FarCryParadiseLost | 
Fate: Unlimited Codes | fateulc | 
Capcom Fighting Jam | fghtjam | 
Fate Grand Order Arcade | FGO | 
Dengeki Bunko: Fighting Climax | FightingClimax | 
Fighting Climax Ignition | FightingClimaxIgnition | 
Fighting Ex Layer | FightingExLayer | 
Figure Heads Type A | FigureHeads | 
The Fast and the Furious | FNF | 
The Fast and the Furious Drift | FNFDrift | 
The Fast and the Furious Super Bikes | FNFSB | 
Super Bikes 2 | FNFSB2 | 
The Fast and the Furious SuperCars | FNFSC | 
Ford Racing: Full Blown | FR | 
Frenzy Express | FrenzyExpress | 
Friction | Friction | 
Frogger | Frogger | 
F-Zero AX | FZeroAX | 
F-Zero AX Monster Ride | FZeroAXMonster | 
Gaelco Championship Tuning Race | GaelcoChampionshipTuningRace | 
Gaia Attack 4 | GaiaAttack4 | 
Galaga Assault | GalagaAssault | 
Gashaaaan!!!! | Gashaaaan | 
Gashaaaan Refill!!!! | Gashaaaan2 | 
Gundam vs. Gundam (GVS1 Ver. A) | gdvsgd | 
Gundam vs. Gundam Next | gdvsgdnx | 
Gekitou Pro Yakyuu | GekitouProYakyuu | 
SEGA Golden Gun | GG | 
Guilty Gear: Strive | GGS | 
Guilty Gear Xrd REV2 | GGXrd | 
